id,listing_number,host_id,host_name,city,price_clean,estimated_revenue,customer_count_num,total_reviewers_number,room_type,price,host_certification,host_response_rate_pct,host_acceptance_rate_pct,bathrooms_num,bedrooms_num,beds_num,accommodates_num,reply_time_category,area,guest_favourite
27150,1,18267013,Sigurd,Berlin,125,0,0,47,Hotel Room,125,1,0,0,1,0,1,2,Unknown,Europe,0
27151,1,18377854,Tim,Berlin,68,0,0,10,Hotel Room,68,1,0.817240899,0.71204387,1,1,1,2,Unknown,Europe,0
27152,1,18749019,Rémi Martin,Berlin,114,0,0,43,Hotel Room,114,1,1,0.71204387,1,1,2,4,Unknown,Europe,0
27153,1,5345378,Babak,Berlin,105,0,0,0,Hotel Room,105,0,0,0,1,2,2,4,Unknown,Europe,0
27154,3,18867174,Jean Sebastian,Berlin,60,0,0,86,Hotel Room,60,1,1,1,1,0,2,2,Unknown,Europe,1
27155,1,5846882,Holger,Berlin,109,0,0,27,Hotel Room,109,1,0.817240899,1,1,2,1,2,Unknown,Europe,1
27156,1,18980209,Olivier,Berlin,335,0,0,177,Hotel Room,335,1,1,0.71204387,1,1,2,6,Unknown,Europe,0
27157,1,18981851,Yvonne,Berlin,69,0,0,588,Private Room,69,1,1,1,1,1,1,2,Unknown,Europe,1
27158,3,18867174,Jean Sebastian,Berlin,60,0,0,60,Hotel Room,60,1,1,1,1,1,2,2,Unknown,Europe,1
27159,3,18867174,Jean Sebastian,Berlin,60,0,0,26,Hotel Room,60,1,1,1,1,1,1,2,Unknown,Europe,1
27160,1,2507776,Georgios,Berlin,117,0,0,48,Hotel Room,117,1,1,0.71204387,1,1,2,4,Unknown,Europe,0
27161,1,19371260,Evelyn,Berlin,97,0,0,21,Hotel Room,97,1,0,0,1,1,1,2,Unknown,Europe,0
27162,1,19382382,Constanze,Berlin,46,0,0,11,Private Room,46,1,0,0,1,1,2,1,Unknown,Europe,0
27163,1,12018635,Bettina,Berlin,80,0,0,123,Private Room,80,1,1,0.71204387,1,2,3,3,Unknown,Europe,0
27164,1,19445864,Harald,Berlin,165,0,0,28,Hotel Room,165,1,1,1,1,3,7,7,Unknown,Europe,0
27165,1,3974152,Christiane,Berlin,43,0,0,49,Hotel Room,43,1,0,0,1,1,1,2,Unknown,Europe,0
27166,1,7774382,Julia,Berlin,150,0,0,9,Hotel Room,150,1,0,0,1,3,3,5,Unknown,Europe,0
27167,1,17853709,Dan,Berlin,55,0,0,11,Hotel Room,55,1,0,1,1,1,1,2,Unknown,Europe,0
27168,1,19847104,Ron,Berlin,36,0,0,129,Private Room,36,1,1,1,1,1,1,2,Unknown,Europe,0
27169,1,19959089,Kathrin,Berlin,69,0,0,12,Hotel Room,69,1,0,0,1,1,2,3,Unknown,Europe,0
27170,1,19964062,Gunnar,Berlin,45,0,0,120,Private Room,45,1,0,0,1,1,1,2,Unknown,Europe,0
27171,1,20001289,Dagmar,Berlin,47,0,0,245,Hotel Room,47,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27172,3,6940392,Marie,Berlin,59,0,0,117,Private Room,59,1,1,0.71204387,1,1,1,2,Unknown,Europe,1
27173,7,8601710,Carolina,Berlin,95,0,0,246,Hotel Room,95,1,1,0.71204387,1,1,1,3,Unknown,Europe,1
27174,1,10301662,Eva-Maria,Berlin,35,0,0,23,Private Room,35,1,0.817240899,0.71204387,1,1,1,1,Unknown,Europe,0
27176,1,20424648,Christine,Berlin,120,0,0,24,Hotel Room,120,1,0.817240899,0.71204387,1,1,2,3,Unknown,Europe,0
27178,1,13671756,Stefan,Berlin,72,0,0,10,Hotel Room,72,1,1,0.71204387,1,1,0,2,Unknown,Europe,0
27179,1,20564719,Marco,Berlin,120,0,0,159,Hotel Room,120,1,1,1,1,1,5,5,Unknown,Europe,0
27180,2,20486026,Florent,Berlin,64,0,0,575,Hotel Room,64,1,1,1,1,1,1,2,Unknown,Europe,0
27181,1,20594116,Uli,Berlin,45,0,0,22,Private Room,45,1,1,1,1,1,0,1,Unknown,Europe,1
27182,1,14474248,Simone,Berlin,121,0,0,241,Hotel Room,121,1,1,0.71204387,1,1,3,5,Unknown,Europe,1
27183,1,20549237,Carsten,Berlin,111,0,0,391,Hotel Room,111,1,1,1,1,1,2,4,Unknown,Europe,1
27184,2,20002437,Hans J02Rg,Berlin,110,0,0,131,Hotel Room,110,1,1,1,1,0,0,2,Unknown,Europe,1
27186,2,20486026,Florent,Berlin,48,0,0,491,Hotel Room,48,1,1,1,1,1,1,1,Unknown,Europe,0
27187,4,1581,Annette,Berlin,60,0,0,12,Hotel Room,60,1,0.817240899,0,1,1,1,2,Unknown,Europe,0
27188,1,20807361,Susanne,Berlin,57,0,0,30,Hotel Room,57,1,0,1,1,1,0,2,Unknown,Europe,0
27189,1,3335984,Richie,Berlin,246,0,0,1,Hotel Room,246,1,1,0.71204387,2,2,2,4,Unknown,Europe,0
27190,1,20817629,Karl,Berlin,65,0,0,2,Hotel Room,65,1,0,0,1,1,1,2,Unknown,Europe,0
27191,1,7498236,Tobias,Berlin,99,0,0,82,Hotel Room,99,1,1,1,1,1,1,2,Unknown,Europe,1
27193,3,20193180,Tia,Berlin,270,0,0,366,Hotel Room,270,1,1,0.71204387,2,2,0,7,Unknown,Europe,0
27194,3,20882412,Dlauar,Berlin,231,0,0,225,Hotel Room,231,1,1,0.71204387,2,3,9,7,Unknown,Europe,1
27195,2,20940587,Roberto,Berlin,200,0,0,97,Hotel Room,200,1,0.817240899,0.71204387,2,2,2,4,Unknown,Europe,0
27197,3,3699503,Andrea,Berlin,49,0,0,157,Private Room,49,1,1,0.71204387,1,1,1,1,Unknown,Europe,1
27198,2,20973585,Thor,Berlin,72,0,0,281,Private Room,72,1,1,0.71204387,1,1,1,2,Unknown,Europe,1
27199,1,20987177,Sandra,Berlin,90,0,0,73,Hotel Room,90,1,1,1,1,0,1,2,Unknown,Europe,0
27200,1,21038534,Kathrin,Berlin,186,0,0,46,Hotel Room,186,1,0.817240899,0.71204387,1,2,2,6,Unknown,Europe,1
27201,2,21045207,Gerrit,Berlin,60,0,0,12,Hotel Room,60,1,0.817240899,0.71204387,1,1,1,2,Unknown,Europe,0
27202,1,876545,Marta,Berlin,28,0,0,0,Private Room,28,1,0,0,1,1,1,1,Unknown,Europe,0
27203,1,21091787,Hilda,Berlin,38,0,0,72,Hotel Room,38,1,0,0.71204387,1,2,2,4,Unknown,Europe,0
27204,2,7278838,Raimund,Berlin,150,0,0,33,Hotel Room,150,1,0,1,1,2,2,4,Unknown,Europe,0
27205,1,21270297,Soo-Hyun,Berlin,136,0,0,29,Hotel Room,136,1,1,1,1,1,1,2,Unknown,Europe,1
27206,1,21281171,Rolando,Berlin,140,0,0,48,Hotel Room,140,1,0,1,1,3,4,6,Unknown,Europe,0
27208,1,3037322,Lena,Berlin,249,0,0,106,Hotel Room,249,1,0,0.71204387,1,1,1,2,Unknown,Europe,0
27209,8,6444753,Elisa,Berlin,179,0,0,345,Hotel Room,179,1,1,0.71204387,1,3,3,6,Unknown,Europe,1
27210,3,1701701,Nini,Berlin,73,0,0,28,Private Room,73,1,0.817240899,0.71204387,1,1,2,2,Unknown,Europe,0
27212,1,20715296,María,Berlin,90,0,0,72,Hotel Room,90,1,1,0.71204387,1,1,1,4,Unknown,Europe,0
27213,1,7799349,Meggie,Berlin,139,0,0,73,Private Room,139,1,1,0.71204387,1,1,1,2,Unknown,Europe,1
27214,1,2554492,Judith & Remi,Berlin,140,0,0,14,Hotel Room,140,0,0.817240899,0.71204387,1,1,1,2,Unknown,Europe,0
27215,1,22223304,Eva,Berlin,40,0,0,141,Private Room,40,1,1,0.71204387,1,1,1,1,Unknown,Europe,1
27216,3,939361,Wolfram,Berlin,115,0,0,64,Hotel Room,115,1,1,1,1,2,4,4,Unknown,Europe,0
27217,3,939361,Wolfram,Berlin,105,0,0,33,Hotel Room,105,1,1,1,1,1,2,3,Unknown,Europe,0
27218,2,22437698,Sebastian,Berlin,89,0,0,0,Hotel Room,89,1,0.817240899,0.71204387,1,2,2,2,Unknown,Europe,0
27219,3,368264,Caroline,Berlin,74,0,0,301,Hotel Room,74,1,1,1,1,1,4,5,Unknown,Europe,0
27220,1,22511671,Rainer Willi Hans,Berlin,155,0,0,584,Hotel Room,155,1,1,1,1,2,5,6,Unknown,Europe,0
